Entity,Code,Year,Bioenergy levelized cost of energy,Geothermal levelized cost of energy,Offshore wind levelized cost of energy,Solar photovoltaic levelized cost of energy,Concentrated solar power levelized cost of energy,Hydropower levelized cost of energy,Onshore wind levelized cost of energy
World,OWID_WRL,1984,,,,,,,0.35026476
World,OWID_WRL,1985,,,,,,,0.32522815
World,OWID_WRL,1986,,,,,,,0.28866726
World,OWID_WRL,1987,,,,,,,0.28005746
World,OWID_WRL,1988,,,,,,,0.23089221
World,OWID_WRL,1989,,,,,,,0.2135598
World,OWID_WRL,1990,,,,,,,0.22708903
World,OWID_WRL,1991,,,,,,,0.2178248
World,OWID_WRL,1992,,,,,,,0.21823226
World,OWID_WRL,1993,,,,,,,0.2295759
World,OWID_WRL,1994,,,,,,,0.21623984
World,OWID_WRL,1995,,,,,,,0.22607207
World,OWID_WRL,1996,,,,,,,0.20189528
World,OWID_WRL,1997,,,,,,,0.17665792
World,OWID_WRL,1998,,,,,,,0.16560026
World,OWID_WRL,1999,,,,,,,0.16304226
World,OWID_WRL,2000,,,0.18069747,,,,0.17458597
World,OWID_WRL,2001,,,0.17090163,,,,0.15322538
World,OWID_WRL,2002,,,0.14479968,,,,0.14165795
World,OWID_WRL,2003,,,0.13355435,,,,0.12409019
World,OWID_WRL,2004,,,0.18947671,,,,0.12617247
World,OWID_WRL,2005,,,0.15936857,,,,0.118139766
World,OWID_WRL,2006,,,0.1570174,,,,0.121544786
World,OWID_WRL,2007,,0.05383953,0.22453432,,,,0.11068616
World,OWID_WRL,2008,,0.059930474,0.22709344,,,,0.11653102
World,OWID_WRL,2009,,0.10386079,0.20896354,,,,0.11424548
World,OWID_WRL,2010,0.08432566,0.05437762,0.20255099,0.46001217,0.39638713,0.04313644,0.11067678
World,OWID_WRL,2011,0.08083945,,0.21158485,0.34292528,0.38064796,0.04056036,0.10551348
World,OWID_WRL,2012,0.06933976,0.09341584,0.17907786,0.25565216,0.36894482,0.042198937,0.095888145
World,OWID_WRL,2013,0.088780016,0.06944923,0.15258002,0.19678167,0.29332757,0.047163296,0.09667573
World,OWID_WRL,2014,0.08880371,0.0708258,0.18640801,0.17699121,0.25581834,0.03674719,0.086487606
World,OWID_WRL,2015,0.07820597,0.06373833,0.15209904,0.13236205,0.24600641,0.040572964,0.07443382
World,OWID_WRL,2016,0.07655825,0.073563635,0.12414846,0.115932256,0.29046017,0.053682834,0.06887895
World,OWID_WRL,2017,0.07643825,0.07696041,0.1147449,0.09117579,0.27829278,0.056270614,0.06461468
World,OWID_WRL,2018,0.05900992,0.07427453,0.108094215,0.07733191,0.16350034,0.044194844,0.054763548
World,OWID_WRL,2019,0.06915627,0.07332711,0.0931793,0.06746652,0.24160981,0.045938633,0.047994845
World,OWID_WRL,2020,0.077994786,0.06164678,0.08816005,0.060086135,0.12182434,0.050994493,0.039881755
World,OWID_WRL,2021,0.07230296,0.07372308,0.07987241,0.052132525,0.124310926,0.05323211,0.035502348
World,OWID_WRL,2022,0.06292062,0.057813246,0.07979848,0.05049542,0.122017,0.061183166,0.033651832
World,OWID_WRL,2023,0.071543775,0.07111167,0.07450562,0.044247407,0.117257856,0.057056986,0.032578353